🕘️更新时间,#genre#
2026-07-22 06:59:20,http://61.136.172.236:9901/tsfile/live/0001_1.m3u8

📺央视频道,#genre#
CCTV-1,http://61.136.172.236:9901/tsfile/live/0001_1.m3u8
CCTV-2,http://61.136.172.236:9901/tsfile/live/0002_1.m3u8
CCTV-3,http://61.136.172.236:9901/tsfile/live/0003_1.m3u8
CCTV-4,http://[2409:8087:3c02:21:0:1:0:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000382/index.m3u8?IASHttpSessionId=
CCTV-4,http://home.wwang.pw:35455/itv/1000000005000265004.m3u8?cdn=ystenlive
CCTV-4,http://222.173.108.238:352/tsfile/live/0004_1.m3u8
CCTV-4,http://171.108.239.79:8181/tsfile/live/1030_1.m3u8
CCTV-4,http://218.92.37.174:9901/tsfile/live/0004_1.m3u8
CCTV-4,http://183.136.148.214:9901/tsfile/live/0004_1.m3u8
CCTV-4,http://117.27.190.42:9998/tsfile/live/23235_1.m3u8
CCTV-4,http://119.125.104.73:9901/tsfile/live/1023_1.m3u8
CCTV-4,http://113.25.252.226:9901/tsfile/live/1008_1.m3u8
CCTV-4,http://111.227.196.164:9901/tsfile/live/0004_1.m3u8
CCTV-5,http://61.136.172.236:9901/tsfile/live/0005_1.m3u8
CCTV-5+,http://61.136.172.236:9901/tsfile/live/0016_1.m3u8
CCTV-6,http://61.136.172.236:9901/tsfile/live/0006_1.m3u8
CCTV-7,http://home.wwang.pw:35455/itv/1000000005000265007.m3u8?cdn=ystenlive
CCTV-7,http://222.173.108.238:352/tsfile/live/0007_1.m3u8
CCTV-7,http://171.108.239.79:8181/tsfile/live/1033_1.m3u8
CCTV-7,http://218.92.37.174:9901/tsfile/live/0007_1.m3u8
CCTV-7,http://183.136.148.214:9901/tsfile/live/0007_1.m3u8
CCTV-7,http://117.27.190.42:9998/tsfile/live/23238_1.m3u8
CCTV-7,http://119.125.104.73:9901/tsfile/live/1027_1.m3u8
CCTV-7,http://113.25.252.226:9901/tsfile/live/1011_1.m3u8
CCTV-7,http://111.227.196.164:9901/tsfile/live/0007_1.m3u8
CCTV-7,http://58.46.29.253:9999/tsfile/live/0007_1.m3u8
CCTV-8,http://61.136.172.236:9901/tsfile/live/0008_1.m3u8
CCTV-9,http://61.136.172.236:9901/tsfile/live/0009_1.m3u8
CCTV-10,http://61.136.172.236:9901/tsfile/live/0010_1.m3u8
CCTV-11,http://61.136.172.236:9901/tsfile/live/0011_1.m3u8
CCTV-12,http://61.136.172.236:9901/tsfile/live/0012_1.m3u8
CCTV-13,http://61.136.172.236:9901/tsfile/live/0013_1.m3u8
CCTV-14,http://61.136.172.236:9901/tsfile/live/0014_1.m3u8
CCTV-15,http://61.136.172.236:9901/tsfile/live/0015_1.m3u8
CCTV-16,http://[2409:8087:74d9:21::6]:80/270000001128/9900000016/index.m3u8
CCTV-16,http://home.wwang.pw:35455/itv/1000000006000233002.m3u8?cdn=ystenlive
CCTV-16,http://171.108.239.79:8181/tsfile/live/1042_1.m3u8
CCTV-16,http://117.27.190.42:9998/tsfile/live/23249_1.m3u8
CCTV-16,http://58.46.29.253:9999/tsfile/live/1084_1.m3u8
CCTV-16,http://220.164.192.48:50085/tsfile/live/0017_1.m3u8
CCTV-16,http://115.150.63.77:9902/tsfile/live/1057_1.m3u8
CCTV-16,http://113.195.4.227:9901/tsfile/live/1089_1.m3u8
CCTV-16,http://111.160.17.2:59901/tsfile/live/0001_17.m3u8
CCTV-17,http://home.wwang.pw:35455/itv/1000000005000265015.m3u8?cdn=ystenlive
CCTV-17,http://171.108.239.79:8181/tsfile/live/1043_1.m3u8
CCTV-17,http://117.27.190.42:9998/tsfile/live/23247_1.m3u8
CCTV-17,http://222.169.85.8:9901/tsfile/live/0007_1.m3u8
CCTV-17,http://58.46.29.253:9999/tsfile/live/0019_1.m3u8
CCTV-17,http://118.122.189.74:9901/tsfile/live/0019_1.m3u8
CCTV-17,http://171.14.89.49:9901/tsfile/live/1027_1.m3u8
CCTV-17,http://220.164.192.48:50085/tsfile/live/0018_1.m3u8
CCTV-17,http://115.150.63.77:9902/tsfile/live/0019_1.m3u8
CCTV-17,http://222.134.245.16:9901/tsfile/live/0019_1.m3u8
CETV-1,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221227021/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7ELlgU9sgTT7iMtFgKHFa-dA%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
CETV-1,http://113.195.4.227:9901/tsfile/live/1035_1.m3u8
CETV-2,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000071/index.m3u8?
CETV-2,http://113.195.4.227:9901/tsfile/live/1033_1.m3u8
CETV-4,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226997/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EAw_OvjRgJVjtlaOa0dcgzg%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
CETV-4,http://113.195.4.227:9901/tsfile/live/1036_1.m3u8
CETV-4,http://58.46.29.253:9999/tsfile/live/1085_1.m3u8

📡卫视频道,#genre#
广东卫视,http://61.136.172.236:9901/tsfile/live/0125_1.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
浙江卫视,http://satellitepull.cnr.cn/live/wxzjws/playlist.m3u8
浙江卫视,http://61.136.172.236:9901/tsfile/live/0124_1.m3u8
湖南卫视,http://satellitepull.cnr.cn/live/wx32hunws/playlist.m3u8
湖南卫视,http://61.136.172.236:9901/tsfile/live/0128_1.m3u8
北京卫视,http://satellitepull.cnr.cn/live/wxbtv/playlist.m3u8
北京卫视,http://61.136.172.236:9901/tsfile/live/0122_1.m3u8
湖北卫视,http://satellitepull.cnr.cn/live/wx32hubws/playlist.m3u8
湖北卫视,http://61.136.172.236:9901/tsfile/live/0132_1.m3u8
黑龙江卫视,http://61.136.172.236:9901/tsfile/live/0143_1.m3u8
安徽卫视,http://satellitepull.cnr.cn/live/wxahws/playlist.m3u8
安徽卫视,http://61.136.172.236:9901/tsfile/live/0130_1.m3u8
重庆卫视,http://61.136.172.236:9901/tsfile/live/0142_1.m3u8
东方卫视,https://live.lalifeier.eu.org/kankanews/dfws.m3u8?t=1768568336&key=3d9638ae7f1b9c2f21fc8021492731ce
东方卫视,https://live.lalifeier.eu.org/kankanews/dfws.m3u8?t=1768598890&key=d76db2c1cc38a3ab8590a5750be81078
东方卫视,https://live.lalifeier.eu.org/kankanews/dfws.m3u8?t=1768642057&key=bd854d95a1a8da2f4feea94eb47dc6d8
东方卫视,https://live.lalifeier.eu.org/kankanews/dfws.m3u8?t=1768685091&key=20d6e40a363ea602a92420a7adddd399
东方卫视,https://live.lalifeier.eu.org/kankanews/dfws.m3u8?t=1768728478&key=b231fb425c7a5746138d976740e8431d
东方卫视,https://live.lalifeier.eu.org/kankanews/dfws.m3u8?t=1768771475&key=5c4a3ac0c9cb34f64599b6df037f6744
东方卫视,https://live.lalifeier.eu.org/kankanews/dfws.m3u8?t=1768815712&key=a399ba6360a95f2a4adcdfe66e40b747
东方卫视,https://live.lalifeier.eu.org/kankanews/dfws.m3u8?t=1768858032&key=9bdec0b7e9a9cdff56fd3fff017ffe48
东方卫视,https://live.lalifeier.eu.org/kankanews/dfws.m3u8?t=1768901987&key=9b698f76962b30aecd8c430441979fe7
东方卫视,https://live.lalifeier.eu.org/kankanews/dfws.m3u8?t=1768944507&key=00ad4b331498f215ab19ff5982e31da0
东南卫视,http://satellitepull.cnr.cn/live/wx32fjws/playlist.m3u8
东南卫视,http://61.136.172.236:9901/tsfile/live/0137_1.m3u8
甘肃卫视,https://hls.gstv.com.cn/49048r/6e1sy2.m3u8
甘肃卫视,http://home.wwang.pw:35455/itv/5000000011000031121.m3u8?cdn=bestzb
甘肃卫视,http://satellitepull.cnr.cn/live/wxgsws/playlist.m3u8
甘肃卫视,http://218.92.37.174:9901/tsfile/live/0141_1.m3u8
甘肃卫视,http://117.27.190.42:9998/tsfile/live/23277_1.m3u8
甘肃卫视,http://113.25.252.226:9901/tsfile/live/1047_1.m3u8
甘肃卫视,http://58.46.29.253:9999/tsfile/live/0141_1.m3u8
甘肃卫视,http://118.122.189.74:9901/tsfile/live/0141_1.m3u8
甘肃卫视,http://220.164.192.48:50085/tsfile/live/0141_1.m3u8
甘肃卫视,http://223.241.247.214:9901/tsfile/live/0141_1.m3u8
广西卫视,http://61.136.172.236:9901/tsfile/live/0113_1.m3u8
贵州卫视,http://61.136.172.236:9901/tsfile/live/0120_1.m3u8
海南卫视,http://satellitepull.cnr.cn/live/wxhainlyws/playlist.m3u8
河北卫视,http://61.136.172.236:9901/tsfile/live/0117_1.m3u8
河南卫视,http://satellitepull.cnr.cn/live/wxhnws/playlist.m3u8
河南卫视,http://61.136.172.236:9901/tsfile/live/0139_1.m3u8
吉林卫视,http://satellitepull.cnr.cn/live/wxjlws/playlist.m3u8
吉林卫视,http://61.136.172.236:9901/tsfile/live/0116_1.m3u8
江苏卫视,http://satellitepull.cnr.cn/live/wx32jsws/playlist.m3u8
